name,sex,event,age,bodyweightkg,weightclasskg,best3squatkg,best3benchkg,best3deadliftkg,totalkg,date
Monica S. Rasmussen,F,SBD,42.5,57.9,63,135.0,62.5,150.0,347.5,2015-10-10
Kim Eikefet,F,SBD,41.5,80.9,84,80.0,57.5,100.0,237.5,2015-10-10
Even Bless Liland,M,SBD,23.5,119.6,120,280.0,210.0,305.0,795.0,2015-10-10
Torgeir Skoge,M,SBD,41.5,104.1,105,200.0,150.0,195.0,545.0,2015-10-10
Tor-Herman Omland,M,SBD,35.5,116.8,120,260.0,212.5,300.0,772.5,2013-12-14
Fredrik Danielsen,M,SBD,22.5,86.2,93,180.0,130.0,245.0,555.0,2014-12-19
Jeanette-Rene Viklund,F,SBD,39.5,76.35,84,95.0,80.0,120.0,295.0,2019-12-14
Sofie Horne,F,SBD,16.5,80.25,84,142.5,80.0,162.5,385.0,2018-11-10
Irina Melkild,F,SBD,20.5,50.1,52,102.5,75.0,115.0,292.5,2018-11-10
Mia Margrethe Ramberg Storstad,F,SBD,18.5,54.95,57,112.5,67.5,125.0,305.0,2018-11-10
Manuela Pischel-Bakker,F,SBD,40.0,59.2,63,127.5,77.5,142.5,347.5,2017-12-22
Simen Johnson Myrvold,M,SBD,17.0,73.1,74,155.0,125.0,190.0,470.0,2017-12-22
Per Jørgen Gundersen,M,SBD,18.5,90.6,93,200.0,142.5,205.0,547.5,2017-12-22
Norunn Nielsen Holmvik,F,SBD,30.5,54.8,57,102.5,50.0,117.5,270.0,2014-04-05
Julie Berger Johansen,F,SBD,21.5,71.8,72,110.0,55.0,132.5,297.5,2014-10-25
Fredrik Ingebrigtsen,M,SBD,24.5,91.7,93,212.5,191.0,245.0,648.5,2014-10-25
Martin Borgland Rønning,M,SBD,29.5,158.8,120+,312.5,240.0,320.0,872.5,2014-10-25
Sarah Nilsen Evensen,F,SBD,22.5,69.1,72,100.0,80.0,125.0,305.0,2018-02-10
Malin Narum Kvamsdal,F,SBD,23.5,51.8,52,97.5,65.0,105.0,267.5,2018-02-10
Veronica Opdal,F,SBD,32.5,70.0,72,155.0,100.0,182.5,437.5,2018-02-10
Siri Anita Slettmyr,F,SBD,33.5,87.3,84+,170.0,100.0,185.0,455.0,2018-02-10
Stine Liverød,F,SBD,25.5,72.8,84,167.5,100.0,160.0,427.5,2018-06-16
Lars S. Kirkebøen,M,SBD,35.5,151.24,120+,290.0,180.0,340.0,810.0,2018-06-16
Solveig Mehlum Teppen,F,SBD,43.5,63.2,72,75.0,42.5,110.0,227.5,2019-02-20
Riad Sollien,M,SBD,48.5,141.0,120+,210.0,160.0,270.0,640.0,2019-02-20
Johannes Kristensen,M,SBD,24.5,91.1,93,265.0,170.0,300.0,735.0,2022-09-03
Karen Hesthammer,F,SBD,21.5,51.5,52,130.0,83.0,140.5,353.5,2016-10-07
Malin Narum Kvamsdal,F,SBD,21.5,49.4,52,87.5,60.0,102.5,250.0,2016-10-07
Hege Berge,F,SBD,33.5,56.15,57,125.0,72.5,135.0,332.5,2016-10-07
Julie Fosseide,F,SBD,23.5,55.0,57,110.0,70.0,135.0,315.0,2016-10-07
Julie Dahle,F,SBD,37.5,56.6,57,122.5,70.0,120.0,312.5,2016-10-07
Linn Hèlen Solbakken Fjeld,F,SBD,23.5,56.0,57,105.0,75.0,120.0,300.0,2016-10-07
Lena Sjøl,F,SBD,19.0,59.25,63,140.5,82.5,160.0,383.0,2016-10-07
Iselin Rolseth,F,SBD,24.5,62.75,63,130.0,95.0,150.0,375.0,2016-10-07
Kamilla Kolvig,F,SBD,26.5,62.45,63,132.5,67.5,171.0,371.0,2016-10-07
Sunniva Nordskog,F,SBD,29.5,61.15,63,122.5,87.5,155.0,365.0,2016-10-07
Irene Johansen,F,SBD,47.5,61.35,63,105.0,55.0,140.0,300.0,2016-10-07
Maria Letnes,F,SBD,24.5,71.2,72,162.5,110.0,187.5,460.0,2016-10-07
Annemari Løberg Larsen,F,SBD,23.5,70.95,72,160.0,72.5,200.5,433.0,2016-10-07
Gina Bakke Bolstad,F,SBD,24.5,70.55,72,140.0,82.5,160.0,382.5,2016-10-07
Marte Kjenner,F,SBD,26.5,71.5,72,137.5,75.0,160.0,372.5,2016-10-07
Silje Haube,F,SBD,21.5,70.45,72,120.0,92.5,147.5,360.0,2016-10-07
Dina Lorentzen,F,SBD,16.5,66.65,72,125.0,77.5,150.0,352.5,2016-10-07
Lise Reierskog,F,SBD,38.5,70.8,72,115.0,77.5,140.0,332.5,2016-10-07
Monika Kvam,F,SBD,21.5,70.1,72,120.0,67.5,125.0,312.5,2016-10-07
Julie Berger Johansen,F,SBD,23.5,81.9,84,170.5,82.5,170.0,423.0,2016-10-07
Siri Anita Slettmyr,F,SBD,31.5,81.15,84,157.5,82.5,177.5,417.5,2016-10-07
Karen Tvedt,F,SBD,39.0,82.1,84,165.0,80.0,172.5,417.5,2016-10-07
Stine Hamre,F,SBD,20.5,79.85,84,162.5,80.0,167.5,410.0,2016-10-07
